"dataset.id","dataset.title","dataset.slug","dataset.url","dataset.organization","dataset.organization_id","dataset.license","dataset.private","id","url","title","description","filetype","format","mime","filesize","checksum.type","checksum.value","created_at","modified","downloads"
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"ba8219dc-948c-418a-9116-f792c79c54b8","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220313-190041/sp-mut-7j-dep-2022-03-13-19h00.csv","sp-mut-7j-dep-2022-03-13-19h00.csv","","file","csv","text/csv",1692323,"sha1","414fe2f9f13f3ff64f3b0ee68d499ddfef3a4b0b","2022-01-10T18:16:33.092000","2022-03-13T19:00:41.301000",30
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"7eade8d7-f79a-4c7f-8579-51f3f7104cfb","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220313-190045/sp-mut-7j-fra-2022-03-13-19h00.csv","sp-mut-7j-fra-2022-03-13-19h00.csv","Données nationales - Nouvelle méthodologie","file","csv","text/csv",17580,"sha1","47f2b92743f08a5f200bab4197a46ab06f318ce1","2022-01-06T14:36:21.418000","2022-03-13T19:00:45.269000",61
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"9ed7f76c-09bc-43fb-997a-a1733faa6e8b","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220313-190043/sp-mut-7j-reg-2022-03-13-19h00.csv","sp-mut-7j-reg-2022-03-13-19h00.csv","Données régionales - Nouvelle méthodologie","file","csv","text/csv",370889,"sha1","7c7dc95df96632ee30030cdea7ffb75a56529579","2022-01-06T14:35:26.821000","2022-03-13T19:00:43.281000",24
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"8dd8ea30-8d79-4fd5-9b6a-37ee99ca314b","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220106-143235/2022-01-06-note-methodologique-mutation-vf.pdf","Note-methodologique-mutation-2022-01-06.pdf","","file","pdf","application/pdf",679157,"sha1","de55cf2fb0c2df619e52b641dffc8e39154fbea6","2022-01-06T14:32:35.842000","2022-01-06T14:32:50.210000",26
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"28983732-6e63-4aa1-b651-a5fa9158584e","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20210701-115753/2021-07-01-note-methodologique-mutation.pdf","Note-methodologique-mutation-2021-07-01.pdf","","file","pdf","application/pdf",546293,"sha1","b58d127b88b8792433372143f761259bf7a8958b","2021-07-01T11:57:53.970000","2022-01-06T14:50:46.901000",59
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"4d3e5a8b-9649-4c41-86ec-5420eb6b530c","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220102-190908/sp-mutations-7j-dep-2022-01-02-19h09.csv","sp-mutations-7j-dep-2022-01-02-19h09.csv","Données sur la présence des mutations d’intérêts - Départements - Ancienne méthodologie","file","csv","text/csv",2099338,"sha1","f5e81ede51ed75d3e13e25a94a086f188d0c090d","2021-07-01T11:56:29.695000","2022-01-06T14:33:37.381000",109
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"5ff0cad6-f150-47ea-a4e0-57e354c1b2a4","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220106-190701/sp-mutations-7j-reg-2022-01-06-19h07.csv","sp-mutations-7j-reg-2022-01-06-19h07.csv","Données sur la présence des mutations d’intérêts - Régions - Ancienne méthodologie","file","csv","text/csv",444506,"sha1","263f8e55d8d10684fbeee45d42b09c2005c95c6d","2021-07-01T11:55:57.764000","2022-01-06T19:07:01.391000",6
"60dd8e92b9d32e9afdc23491","Données de laboratoires pour le dépistage : Indicateurs sur les mutations","donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"848debc4-0e42-4e3b-a176-afc285ed5401","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20220106-190659/sp-mutations-7j-fra-2022-01-06-19h06.csv","sp-mutations-7j-fra-2022-01-06-19h06.csv","Données sur la présence des mutations d'intérêts - France - Ancienne méthodologie","file","csv","text/csv",24297,"sha1","551923050850b6e0435d740e9278f7700967190d","2021-07-01T11:45:00.396000","2022-01-06T19:07:00.083000",23
"6061d8c10f4e05b7186ff7fe","Données relatives aux personnes très vulnérables vaccinées contre la COVID-19 ","donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19","https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"2d8f461e-229c-4e3d-a79e-8a75e4b4ad33","https://static.data.gouv.fr/resources/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/20210329-154142/vacsi-pv-tot.csv","vacsi-pv-tot-fra.csv","Données vaccination des personnes très vulnérables arrêté à la dernière date disponible - département","file","csv","text/csv",115,"sha1","9d09f1bb8541bad709f1fd1e460c5fe3c2d11b24","2021-03-29T15:41:42.174000","2021-03-29T15:41:55.293000",15
"6061d8c10f4e05b7186ff7fe","Données relatives aux personnes très vulnérables vaccinées contre la COVID-19 ","donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19","https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"d2beac37-4f29-4745-bc98-93d79fa2179a","https://static.data.gouv.fr/resources/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/20210329-154122/vacsi-pv-tot.csv","vacsi-pv-tot-reg.csv","Données vaccination des personnes très vulnérables arrêté à la dernière date disponible - région","file","csv","text/csv",500,"sha1","f8f25f67f0ee66c8b2731f646920146488e12e7f","2021-03-29T15:41:22.062000","2021-03-29T15:42:02.414000",1
"6061d8c10f4e05b7186ff7fe","Données relatives aux personnes très vulnérables vaccinées contre la COVID-19 ","donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19","https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"54b0001d-d1fe-4554-b991-11a61a7d0c9e","https://static.data.gouv.fr/resources/donnees-relatives-aux-personnes-tres-vulnerables-vaccinees-contre-la-covid-19/20210329-154030/vacsi-pv-tot.csv","vacsi-pv-tot-dep.csv","Données vaccination des personnes très vulnérables arrêté à la dernière date disponible - département","file","csv","text/csv",2339,"sha1","2003bdc5e8de6e3a01c9ff4d39df788efe2e1fa6","2021-03-29T15:40:30.630000","2021-03-29T15:42:11.332000",9
"608958c983b331618ffc97f9","Données de laboratoires pour le dépistage, focus par niveau scolaire","donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"e66efcc9-01dd-49ba-a774-88c753705ce0","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20220313-190027/sp-ti-tp-7j-18ans-fra-2022-03-13-19h00.csv","sp-ti-tp-7j-18ans-fra-2022-03-13-19h00.csv","SIDEP - Indicateurs nationaux - Niveaux scolaires 7 jours glissants","file","csv","text/csv",226334,"sha1","e2fb8f38db937f08e0905db6dec2da94468d7bb1","2021-09-23T18:18:29.563000","2022-03-13T19:00:27.969000",4
"608958c983b331618ffc97f9","Données de laboratoires pour le dépistage, focus par niveau scolaire","donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"5568da36-95ef-4d45-a69f-45f1abd23630","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20220313-190028/sp-ti-tp-7j-18ans-reg-2022-03-13-19h00.csv","sp-ti-tp-7j-18ans-reg-2022-03-13-19h00.csv","SIDEP - Indicateurs nationaux - Niveaux scolaires 7 jours glissants","file","csv","text/csv",4511921,"sha1","c5d04f4dcca220b7c67227157c801c6da614b125","2021-09-23T18:17:59.789000","2022-03-13T19:00:29.089000",0
"608958c983b331618ffc97f9","Données de laboratoires pour le dépistage, focus par niveau scolaire","donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire","https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/","Santé publique France","5e721a395d57f93d0bed451f","Licence Ouverte / Open Licence version 2.0",False,"73167a0f-7218-48e5-84b9-20092a525bff","https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20220313-190034/sp-ti-tp-7j-18ans-dep-2022-03-13-19h00.csv","sp-ti-tp-7j-18ans-dep-2022-03-13-19h00.csv","SIDEP - Indicateurs nationaux - Niveaux scolaires 7 jours glissants","file","csv","text/csv",22985745,"sha1","f9a0f03e977c2c99daa9eab48fc3350a5f474b42","2021-09-23T18:17:19.747000","2022-03-13T19:00:36.305000",0
